City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
503,ilihan,PH,13.6256,121.0753,78.1,84,95,8.97,overcast clouds
504,kupang,ID,-10.1667,123.5833,81.79,76,89,4.34,overcast clouds
505,atar,MR,20.5169,-13.0499,70.34,15,100,7.96,overcast clouds
506,mtambile,TZ,-5.3833,39.7,79.05,79,12,9.62,few clouds
507,escanaba,US,45.7453,-87.0646,34.52,99,100,12.66,snow
508,pitimbu,BR,-7.4706,-34.8086,79.39,76,100,9.22,overcast clouds
509,vallenar,CL,-28.5708,-70.7581,71.44,50,0,5.48,clear sky
510,santa fe,AR,-31.6333,-60.7,91.02,39,1,1.99,light rain
511,mandera,KE,3.9366,41.867,76.55,29,98,9.44,overcast clouds
512,the valley,AI,18.217,-63.0578,76.86,80,7,20.42,clear sky
513,saint peter,BB,13.25,-59.6167,75.45,77,9,11.97,clear sky
514,kisangani,CD,0.5167,25.2,72.3,79,72,2.8,broken clouds
515,kavieng,PG,-2.5744,150.7967,82.8,70,100,5.1,light rain
516,sukhumi,GE,43.0033,41.0153,47.14,49,2,4.38,clear sky
517,pabrade,LT,55.0,25.7833,34.25,97,100,9.19,light snow
518,casper,US,42.8666,-106.3131,27.19,74,0,6.91,clear sky
519,lakes entrance,AU,-37.8811,147.981,83.16,58,5,4.14,clear sky
520,porangatu,BR,-13.4408,-49.1486,72.72,87,99,1.19,overcast clouds
521,wasilla,US,61.5814,-149.4394,33.73,68,0,16.11,clear sky
522,liberal,US,37.0431,-100.921,48.34,40,0,5.75,clear sky
523,porto santo,PT,33.072,-16.3415,59.38,72,75,12.66,broken clouds
524,annau,TM,37.8876,58.516,17.1,79,29,4.61,mist
525,muzhi,RU,65.3667,64.6667,12.52,95,100,6.71,overcast clouds
526,williams lake,CA,52.1415,-122.1445,33.06,89,99,3.2,overcast clouds
527,kloulklubed,PW,7.0419,134.2556,81.1,72,98,5.66,overcast clouds
528,codrington,AU,-38.2667,141.9667,92.32,16,31,12.62,scattered clouds
529,grootfontein,NA,-19.5667,18.1167,62.17,100,94,0.0,light rain
530,trelew,AR,-43.249,-65.3051,68.07,44,82,13.35,broken clouds
531,lulea,SE,65.5842,22.1547,19.47,86,75,5.75,broken clouds
